Name,State,Change,Density
New York City,New York,-2.35,10676
Los Angeles,California,0.07,3278
Chicago,Illinois,-0.52,4576
Houston,Texas,0.74,1405
Phoenix,Arizona,4.49,1254
Philadelphia,Pennsylvania,1.02,4557
San Antonio,Texas,3.67,1296
San Diego,California,1.22,1690
Dallas,Texas,1.93,1522
San Jose,California,-0.37,2223
Austin,Texas,3.31,1209
Jacksonville,Florida,3.49,471
Fort Worth,Texas,6.46,1024
Columbus,Ohio,4.46,1588
Charlotte,North Carolina,5.24,1120
San Francisco,California,1.19,7256
Indianapolis,Indiana,2.41,936
Seattle,Washington,7.03,3473
Denver,Colorado,4.91,1832
Washington,District of Columbia,3.65,4461
Boston,Massachusetts,2.89,5536
El Paso,Texas,-0.49,1025
Nashville,Tennessee,1.54,544
Detroit,Michigan,-0.39,1864
Oklahoma City,Oklahoma,2.49,417
Portland,Oregon,2.29,1893
Las Vegas,Nevada,2.92,1871
Memphis,Tennessee,-0.26,792
Louisville,Kentucky,0.22,905
Baltimore,Maryland,-3.45,2833
Milwaukee,Wisconsin,-0.83,2368
Albuquerque,New Mexico,0.26,1150
Tucson,Arizona,3.25,917
Fresno,California,1.82,1794
Mesa,Arizona,6.87,1450
Sacramento,California,3.7,2025
Atlanta,Georgia,7.29,1466
Kansas City,Missouri,2.91,607
Colorado Springs,Colorado,2.83,944
Omaha,Nebraska,6.95,1386
Raleigh,North Carolina,3.32,1261
Miami,Florida,3.21,5021
Long Beach,California,-1.62,3550
Virginia Beach,Virginia,-0.01,710
Oakland,California,3.09,2991
Minneapolis,Minnesota,3.74,3071
Tulsa,Oklahoma,-0.49,787
Tampa,Florida,5.99,1361
Arlington,Texas,0.48,1608
New Orleans,Louisiana,-0.3,889
Wichita,Kansas,-0.03,939
Bakersfield,California,2.13,997
Cleveland,Ohio,-1.22,1894
Aurora,Colorado,4.83,954
Anaheim,California,-0.2,2706
Honolulu,Hawaii,-1.91,2202
Santa Ana,California,-0.59,4734
Riverside,California,2.05,1576
Corpus Christi,Texas,0.31,722
Lexington,Kentucky,1.37,440
Henderson,Nevada,9.32,1181
Stockton,California,1.81,1957
Saint Paul,Minnesota,1.88,2287
Cincinnati,Ohio,1.74,1516
St. Louis,Missouri,-3.48,1872
Pittsburgh,Pennsylvania,-1.11,2093
Greensboro,North Carolina,3.34,893
Lincoln,Nebraska,3.16,1212
Anchorage,Alaska,-4.18,65
Plano,Texas,0.59,1549
Orlando,Florida,3.72,1055
Irvine,California,8.02,1692
Newark,New Jersey,0.12,4519
Durham,North Carolina,6.05,981
Chula Vista,California,2.7,2136
Toledo,Ohio,-2.01,1305
Fort Wayne,Indiana,2.25,944
